taxlevel	rankID	taxon	daughterlevels	total	00_SrnOcean_DCM	01_SrnOcean_SURF	02_SrnOcean_MESO	03_SPac_DCM	04_SPac_SURF	05_SPac_MESO	06_NPac_DCM	07_NPac_MESO	08_NPac_SURF	09_NAtl_SURF	10_AraSea_MESO
4	0.2.8.1.1	Candidate_division_OP11_unclassified	1	2	0	0	0	0	0	0	0	0	0	0	2
4	0.2.9.1.1	Candidate_division_OP3_unclassified	1	7	0	0	0	0	0	0	0	0	0	0	7
4	0.2.10.1.1	Candidate_division_OP8_unclassified	1	1	0	0	0	0	0	0	0	0	0	0	1
4	0.2.11.1.1	Candidate_division_TM7_unclassified	1	39	0	0	0	3	1	12	8	14	0	0	1
4	0.2.12.1.1	Chlamydiales	3	11	0	0	0	1	4	2	0	2	0	0	2
4	0.2.13.1.1	Ignavibacteriales	1	1	0	0	0	0	0	0	0	0	1	0	0
4	0.2.14.1.1	Anaerolineales	1	1	0	0	0	0	0	1	0	0	0	0	0
4	0.2.14.2.1	Chloroflexi_unclassified	1	114	0	0	15	7	0	10	1	23	0	1	57
4	0.2.14.3.1	Dehalococcoidia_unclassified	1	39	0	0	0	0	0	0	0	0	0	0	39
4	0.2.14.3.2	vadinBA26	1	28	0	0	0	0	0	0	0	0	0	0	28
4	0.2.14.4.1	SAR202_clade_unclassified	1	514	0	0	123	71	2	65	26	121	0	12	94
4	0.2.15.1.1	Chloroplast_unclassified	1	182	23	66	25	3	13	1	15	0	15	21	0
4	0.2.15.2.1	Cyanobacteria_unclassified	1	342	60	37	2	37	61	6	44	0	48	47	0
4	0.2.15.2.2	SubsectionI	1	6009	0	0	0	725	1315	263	718	8	2075	903	2
4	0.2.15.3.1	Cyanobacteria_unclassified	1	506	147	144	4	7	35	3	61	0	22	83	0
4	0.2.16.1.1	Deferribacterales	3	3192	1	0	289	361	366	337	635	328	173	231	471
4	0.2.17.1.1	Bacillales	4	47	0	0	37	0	0	1	2	5	0	2	0
4	0.2.17.1.2	Bacilli_unclassified	1	2	0	0	2	0	0	0	0	0	0	0	0
4	0.2.17.1.3	Lactobacillales	1	1	0	0	1	0	0	0	0	0	0	0	0
4	0.2.17.2.1	Clostridiales	2	2	0	0	2	0	0	0	0	0	0	0	0
4	0.2.17.3.1	Firmicutes_unclassified	1	3	0	0	2	0	0	1	0	0	0	0	0
4	0.2.17.4.1	Selenomonadales	1	1	0	0	0	0	0	0	1	0	0	0	0
4	0.2.18.1.1	BD2-11_terrestrial_group	1	171	0	0	52	6	0	56	0	42	0	1	14
4	0.2.18.1.2	Gemmatimonadetes_unclassified	1	2	0	0	2	0	0	0	0	0	0	0	0
4	0.2.18.1.3	PAUC43f_marine_benthic_group	1	3	0	0	0	0	0	1	0	2	0	0	0
4	0.2.19.1.1	Lentisphaerae_unclassified	1	24	0	0	18	0	0	2	0	3	0	1	0
4	0.2.19.2.1	Lentisphaerales	1	22	0	0	19	1	0	1	0	1	0	0	0
4	0.2.19.3.1	ML1228J-2_unclassified	1	1	0	0	0	0	0	0	0	1	0	0	0
4	0.2.19.4.1	Oligosphaeria_unclassified	1	2	0	0	1	0	0	0	0	1	0	0	0
4	0.2.20.1.1	OM190_unclassified	1	10	0	0	2	0	6	2	0	0	0	0	0
4	0.2.20.2.1	MSBL9	1	4	0	0	2	0	0	0	0	0	0	0	2
4	0.2.20.2.2	Phycisphaerae_unclassified	1	15	0	0	1	7	1	3	0	2	0	0	1
4	0.2.20.2.3	Phycisphaerales	1	57	0	0	8	11	10	9	1	9	5	0	4
4	0.2.20.3.1	Brocadiales	1	368	0	0	0	0	0	0	0	0	0	0	368
4	0.2.20.3.2	Planctomycetacia_unclassified	1	5	0	0	0	0	0	0	0	0	0	0	5
4	0.2.20.3.3	Planctomycetales	1	112	0	0	50	14	0	15	6	16	3	6	2
4	0.2.20.4.1	Planctomycetes_unclassified	1	56	0	0	11	5	6	9	1	12	0	1	11
4	0.2.21.1.1	AEGEAN-245_unclassified	1	31	0	0	1	4	0	1	19	5	0	1	0
4	0.2.21.2.1	Alphaproteobacteria_unclassified	1	3130	66	76	140	390	341	287	358	253	479	407	333
4	0.2.21.2.2	Caulobacterales	3	56	0	0	6	4	4	32	2	7	0	1	0
4	0.2.21.2.3	DB1-14	1	2	0	0	1	0	0	0	0	1	0	0	0
4	0.2.21.2.4	OCS116_clade	1	216	3	3	0	14	61	8	27	0	19	81	0
4	0.2.21.2.5	Rhizobiales	9	99	0	0	10	5	2	31	13	25	2	5	6
4	0.2.21.2.6	Rhodobacterales	1	1103	187	227	22	56	154	74	70	21	72	217	3
4	0.2.21.2.7	Rhodospirillales	4	172	1	1	15	13	11	33	10	21	5	12	50
4	0.2.21.2.8	Rickettsiales	5	631	20	4	6	46	163	45	44	9	229	54	11
4	0.2.21.2.9	SAR11_clade	6	21935	1634	2557	995	2393	2883	1506	1984	1544	2725	2691	1023
4	0.2.21.2.10	Sphingomonadales	3	576	1	0	28	59	2	337	23	56	3	6	61
4	0.2.21.3.1	Betaproteobacteria_unclassified	1	76	21	14	1	0	9	3	3	0	4	21	0
4	0.2.21.3.2	Burkholderiales	5	60	3	2	3	0	4	3	31	8	4	0	2
4	0.2.21.3.3	Methylophilales	1	101	37	26	2	0	0	0	9	0	0	27	0
4	0.2.21.3.4	Neisseriales	1	1	0	0	1	0	0	0	0	0	0	0	0
4	0.2.21.3.5	Rhodocyclales	1	2	0	0	0	0	0	0	1	1	0	0	0
4	0.2.21.4.1	Bdellovibrionales	2	78	0	0	4	15	10	5	20	13	6	4	1
4	0.2.21.4.2	Deltaproteobacteria_unclassified	1	255	1	0	35	18	6	39	38	43	10	3	62
4	0.2.21.4.3	Desulfarculales	1	2	0	0	0	0	0	0	0	0	0	0	2
4	0.2.21.4.4	Desulfobacterales	4	458	0	0	48	0	1	113	6	118	6	6	160
4	0.2.21.4.5	Desulfovibrionales	2	3	0	0	0	0	2	1	0	0	0	0	0
4	0.2.21.4.6	Desulfuromonadales	2	9	0	0	0	2	0	1	2	1	3	0	0
4	0.2.21.4.7	GR-WP33-30	1	1	0	0	0	0	0	0	0	0	0	0	1
4	0.2.21.4.8	Myxococcales	5	24	0	0	0	6	1	1	12	2	1	1	0
4	0.2.21.4.9	SAR324_clade(Marine_group_B)	1	3036	33	0	1100	69	7	518	302	667	38	36	266
4	0.2.21.4.10	Sh765B-TzT-29	1	21	0	0	4	1	0	6	0	8	0	0	2
4	0.2.21.5.1	Campylobacterales	1	5	1	0	1	0	0	0	0	0	0	0	3
4	0.2.21.5.2	Epsilonproteobacteria_unclassified	1	1	0	0	0	0	0	1	0	0	0	0	0
4	0.2.21.6.1	Aeromonadales	1	53	29	21	1	1	0	0	1	0	0	0	0
4	0.2.21.6.2	Alteromonadales	9	5273	595	927	655	1310	71	110	31	801	41	7	725
4	0.2.21.6.3	BD7-8_marine_group	1	1	1	0	0	0	0	0	0	0	0	0	0
4	0.2.21.6.4	Chromatiales	2	8	0	0	2	0	0	3	2	1	0	0	0
4	0.2.21.6.5	E01-9C-26_marine_group	1	5	0	0	0	0	0	0	0	1	4	0	0
4	0.2.21.6.6	Enterobacteriales	1	18	0	4	5	4	0	3	0	1	0	1	0
4	0.2.21.6.7	Gammaproteobacteria_Incertae_Sedis	1	20	0	0	6	0	0	6	0	5	0	0	3
4	0.2.21.6.8	Gammaproteobacteria_unclassified	1	4085	559	471	389	512	229	421	271	481	286	223	243
4	0.2.21.6.9	KI89A_clade	1	116	1	1	0	6	36	7	8	1	43	4	9
4	0.2.21.6.10	Legionellales	2	13	0	0	0	1	1	4	3	0	1	2	1
4	0.2.21.6.11	Oceanospirillales	11	7141	1897	1361	659	444	590	501	175	421	404	608	81
4	0.2.21.6.12	Order_Incertae_Sedis	1	2	0	0	0	0	0	0	0	0	0	0	2
4	0.2.21.6.13	Pasteurellales	1	1	0	0	0	1	0	0	0	0	0	0	0
4	0.2.21.6.14	Pseudomonadales	3	169	3	0	29	17	11	26	32	31	0	19	1
4	0.2.21.6.15	Salinisphaerales	1	29	0	0	10	2	1	16	0	0	0	0	0
4	0.2.21.6.16	Thiotrichales	2	292	188	100	2	0	0	1	0	0	1	0	0
4	0.2.21.6.17	Vibrionales	1	22	2	1	0	2	1	4	0	1	0	0	11
4	0.2.21.6.18	Xanthomonadales	3	60	0	0	7	6	17	10	2	7	0	10	1
4	0.2.21.7.1	JTB23_unclassified	1	2	0	0	2	0	0	0	0	0	0	0	0
4	0.2.21.8.1	Proteobacteria_unclassified	1	4613	165	157	342	519	459	428	532	475	586	479	471
4	0.2.22.1.1	Spirochaetales	1	7	0	0	1	0	0	0	0	1	1	0	4
4	0.2.23.1.1	TM6_unclassified	1	2	0	0	0	0	0	0	0	0	0	0	2
4	0.2.24.1.1	Entomoplasmatales	1	1	0	0	0	0	0	1	0	0	0	0	0
4	0.2.25.1.1	Arctic97B-4_marine_group_unclassified	1	325	0	0	126	16	10	42	39	66	0	21	5
4	0.2.25.2.1	Opitutae_unclassified	1	41	0	0	1	0	6	6	2	4	19	1	2
4	0.2.25.2.2	Puniceicoccales	1	31	0	0	3	0	6	2	3	4	12	0	1
4	0.2.25.3.1	Verrucomicrobia_unclassified	1	89	0	0	14	8	10	12	11	15	7	10	2
4	0.2.25.4.1	Verrucomicrobiales	4	53	0	0	23	4	6	5	4	6	0	5	0
4	0.3.1.1.1	Archaeplastida_unclassified	1	8	0	0	0	3	1	1	1	2	0	0	0
4	0.3.1.2.1	Charophyta	1	35	9	4	8	2	1	0	5	2	4	0	0
4	0.3.1.2.2	Chlorophyta	2	17	0	1	0	1	0	0	9	0	1	5	0
4	0.3.1.2.3	Chloroplastida_unclassified	1	4	0	1	0	0	0	0	1	0	0	2	0
4	0.3.1.3.1	Florideophycidae	1	1	0	0	0	0	0	1	0	0	0	0	0
4	0.3.2.1.1	Chroomonas	1	2	1	0	0	0	0	0	0	0	0	1	0
4	0.3.2.1.2	Cryptomonadales_unclassified	1	1	1	0	0	0	0	0	0	0	0	0	0
4	0.3.3.1.1	Eukaryota_unclassified	1	2226	345	177	473	133	47	134	331	405	90	83	8
4	0.3.4.1.1	Discicristata	1	7	0	0	3	0	1	0	1	1	1	0	0
4	0.3.5.1.1	Phaeocystis	1	395	321	53	11	2	5	0	2	0	1	0	0
4	0.3.5.1.2	Prymnesiales	4	147	99	17	9	3	5	1	4	0	3	6	0
4	0.3.5.1.3	Prymnesiophyceae_unclassified	1	269	193	52	8	1	3	1	6	1	3	1	0
4	0.3.6.1.1	Metazoa	1	60	3	0	38	3	1	3	2	0	0	8	2
4	0.3.6.2.1	Fungi	3	48	2	3	11	3	4	3	12	3	2	4	1
4	0.3.6.2.2	Nucletmycea_unclassified	1	7	0	0	1	0	0	0	3	0	0	3	0
4	0.3.6.3.1	Opisthokonta_unclassified	1	26	4	2	6	1	2	0	6	3	0	2	0
4	0.3.7.1.1	Alveolata_unclassified	1	35	3	4	9	2	2	1	7	5	0	2	0
4	0.3.7.1.2	Ciliophora	1	66	27	23	11	0	0	1	1	0	1	2	0
4	0.3.7.1.3	Dinoflagellata	3	298	24	25	85	18	15	22	40	39	16	13	1
4	0.3.7.2.1	Retaria	1	2	0	0	0	0	0	1	0	1	0	0	0
4	0.3.7.3.1	SAR_unclassified	1	93	13	12	14	2	4	6	26	8	4	4	0
4	0.3.7.4.1	Ochrophyta	6	155	17	24	16	3	14	4	30	4	13	30	0
